movie_id	imdb	title	year	path	start	end
maze_runner	tt1790864	The Maze Runner	2014	/fake/path/for/movies.mp4		
wildcats_tt0092214	tt0092214	Wildcats	1986	/fake/path/for/movies.mp4		
diary.of.a.wimp_tt1196141	tt1196141	Diary of a Wimpy Kid	2010	/fake/path/for/movies.mp4		
shangchi.and.th_tt9376612	tt9376612	Shang-Chi and the Legend of the Ten Rings	2021	/fake/path/for/movies.mp4		
like_a_boss	tt7545266	Like a Boss	2020	/fake/path/for/movies.mp4		
long.kiss.goodn_tt0116908	tt0116908	The Long Kiss Goodnight	1996	/fake/path/for/movies.mp4		
daddys.home_tt1528854	tt1528854	Daddy's Home	2015	/fake/path/for/movies.mp4		
silver_linings_playbook	tt1045658	Silver Linings Playbook	2013	/fake/path/for/movies.mp4		
ticket.to.parad_tt14109724	tt14109724	Ticket to Paradise	2022	/fake/path/for/movies.mp4		
ted.2_tt2637276	tt2637276	Ted 2	2015	/fake/path/for/movies.mp4		
aquaman	tt1477834	Aquaman	2018	/fake/path/for/movies.mp4		
forrest_gump	tt0109830	Forrest Gump	1994	/fake/path/for/movies.mp4		
zohan	tt0960144	You Don't Mess with the Zohan	2008	/fake/path/for/movies.mp4		
	tt0106400	The Beverly Hillbillies	1993	/fake/path/for/movies.mp4		
hannah.montana._tt1114677	tt1114677	Hannah Montana: The Movie	2009	/fake/path/for/movies.mp4		
identity_thief	tt2024432	Identity Thief	2013	/fake/path/for/movies.mp4		
scary_movie	tt0175142	Scary Movie	2000	/fake/path/for/movies.mp4		
made_in_america_fs	tt0107478	Made in America	1993	/fake/path/for/movies.mp4		
liar_liar	tt0119528	Liar Liar	1997	/fake/path/for/movies.mp4		
lock.up_tt0097770	tt0097770	Lock Up	1989	/fake/path/for/movies.mp4		
ant_man_and_the_wasp	tt5095030	Ant-Man and the Wasp	2018	/fake/path/for/movies.mp4		
neighbors.2.sor_tt4438848	tt4438848	Neighbors 2: Sorority Rising	2016	/fake/path/for/movies.mp4		
raging_bull	tt0081398	Raging Bull	1980	/fake/path/for/movies.mp4		
live_free_or_die_hard	tt0337978	Live Free or Die Hard	2007	/fake/path/for/movies.mp4		
to.live.and.die_tt0090180	tt0090180	To Live and Die in L.A.	1985	/fake/path/for/movies.mp4		
underdog_tt0467110	tt0467110	Underdog	2007	/fake/path/for/movies.mp4		
my_best_friends_wedding	tt0119738	My Best Friend's Wedding	1997	/fake/path/for/movies.mp4		
pearl_harbor	tt0213149	Pearl Harbor	2001	/fake/path/for/movies.mp4		
where.the.crawd_tt9411972	tt9411972	Where the Crawdads Sing	2022	/fake/path/for/movies.mp4		
licorice.pizza_tt11271038	tt11271038	Licorice Pizza	2022	/fake/path/for/movies.mp4		
dead.man.walkin_tt0112818	tt0112818	Dead Man Walking	1996	/fake/path/for/movies.mp4		
27.dresses_tt0988595	tt0988595	27 Dresses	2008	/fake/path/for/movies.mp4		
halloween_tt0373883	tt0373883	Halloween	2007	/fake/path/for/movies.mp4		
snake.eyes_tt0120832	tt0120832	Snake Eyes	1998	/fake/path/for/movies.mp4		
kangaroo.jack_tt0257568	tt0257568	Kangaroo Jack	2003	/fake/path/for/movies.mp4		
life_tt0123964	tt0123964	Life	1999	/fake/path/for/movies.mp4		
what_women_want	tt0207201	What Women Want	2000	/fake/path/for/movies.mp4		
v.for.vendetta_tt0434409	tt0434409	V for Vendetta	2006	/fake/path/for/movies.mp4		
moonstruck	tt0093565	Moonstruck	1988	/fake/path/for/movies.mp4		
i.love.you.man_tt1155056	tt1155056	I Love You, Man	2009	/fake/path/for/movies.mp4		
faceoff	tt0119094	Face/Off	1997	/fake/path/for/movies.mp4		
green.book_tt6966692	tt6966692	Green Book	2019	/fake/path/for/movies.mp4		
curly.sue_tt0101635	tt0101635	Curly Sue	1991	/fake/path/for/movies.mp4		
tmnt_2014	tt1291150	Teenage Mutant Ninja Turtles	2014	/fake/path/for/movies.mp4		
purple_rain_fs	tt0087957	Purple Rain	1984	/fake/path/for/movies.mp4		
police_academy_fs	tt0087928	Police Academy	1984	/fake/path/for/movies.mp4		
jazz_singer	tt0080948	The Jazz Singer	1980	/fake/path/for/movies.mp4		
hes.just.not.th_tt1001508	tt1001508	He's Just Not That Into You	2009	/fake/path/for/movies.mp4		
force_awakens	tt2488496	Star Wars: Episode VII - The Force Awakens	2015	/fake/path/for/movies.mp4		
volcano_tt0120461	tt0120461	Volcano	1997	/fake/path/for/movies.mp4		
basic_instinct	tt0103772	Basic Instinct	1992	/fake/path/for/movies.mp4		
constantine	tt0360486	Constantine	2005	/fake/path/for/movies.mp4		
equalizer.2_tt3766354	tt3766354	The Equalizer 2	2018	/fake/path/for/movies.mp4		
woman.king_tt8093700	tt8093700	The Woman King	2022	/fake/path/for/movies.mp4		
city_of_angels	tt0120632	City of Angels	1998	/fake/path/for/movies.mp4		
devil_wears_prada	tt0458352	The Devil Wears Prada	2006	/fake/path/for/movies.mp4		
great_muppet_caper	tt0082474	The Great Muppet Caper	1981	/fake/path/for/movies.mp4		
last.dragon_tt0089461	tt0089461	The Last Dragon	1985	/fake/path/for/movies.mp4		
lotr_return_of_the_king	tt0167260	The Lord of the Rings: The Return of the King	2003	/fake/path/for/movies.mp4		
this.means.war_tt1596350	tt1596350	This Means War	2012	/fake/path/for/movies.mp4		
three.fugitives_tt0098471	tt0098471	Three Fugitives	1989	/fake/path/for/movies.mp4		
battle.los.ange_tt1217613	tt1217613	Battle Los Angeles	2011	/fake/path/for/movies.mp4		
last.samurai_tt0325710	tt0325710	The Last Samurai	2003	/fake/path/for/movies.mp4		
big_daddy	tt0142342	Big Daddy	1999	/fake/path/for/movies.mp4		
about.a.boy_tt0276751	tt0276751	About a Boy	2002	/fake/path/for/movies.mp4		
notebook_tt0332280	tt0332280	Notebook, The	2004	/fake/path/for/movies.mp4		
xmen_the_last_stand	tt0376994	X-Men: The Last Stand	2006	/fake/path/for/movies.mp4		
christopher.rob_tt4575576	tt4575576	Christopher Robin	2018	/fake/path/for/movies.mp4		
miracles.from.h_tt4257926	tt4257926	Miracles from Heaven	2016	/fake/path/for/movies.mp4		
star.wars.episo_tt0076759	tt0076759	Star Wars1997 Special Edition	1997	/fake/path/for/movies.mp4		
lethal_weapon	tt0093409	Lethal Weapon	1987	/fake/path/for/movies.mp4		
valentines_day	tt0817230	Valentine's Day	2010	/fake/path/for/movies.mp4		
abyss	tt0096754	The Abyss	1989	/fake/path/for/movies.mp4		
executive_decision	tt0116253	Executive Decision	1996	/fake/path/for/movies.mp4		
running.man_tt0093894	tt0093894	The Running Man	1987	/fake/path/for/movies.mp4		
because.i.said._tt0490084	tt0490084	Because I Said So	2007	/fake/path/for/movies.mp4		
beauty_and_the_beast	tt2771200	Beauty and the Beast	2017	/fake/path/for/movies.mp4		
endless.love_tt0082329	tt0082329	Endless Love	1981	/fake/path/for/movies.mp4		
stardust.memori_tt0081554	tt0081554	Stardust Memories	1980	/fake/path/for/movies.mp4		
amazing_spiderman	tt0948470	The Amazing Spider-Man	2012	/fake/path/for/movies.mp4		
2012m	tt1190080	2012	2009	/fake/path/for/movies.mp4		
ready_player_one	tt1677720	Ready Player One	2018	/fake/path/for/movies.mp4		
thelma_and_louise	tt0103074	Thelma & Louise	1991	/fake/path/for/movies.mp4		
married.to.the._tt0095593	tt0095593	Married to the Mob	1988	/fake/path/for/movies.mp4		
dr_dolittle_2_fs	tt0240462	Dr. Dolittle 2	2001	/fake/path/for/movies.mp4		
outsiders_tt0086066	tt0086066	The Outsiders	1983	/fake/path/for/movies.mp4		
omen_3	tt0082377	The Final Conflict	1981	/fake/path/for/movies.mp4		
herbie.fully.lo_tt0400497	tt0400497	Herbie Fully Loaded	2005	/fake/path/for/movies.mp4		
